ID	block	new_block	x_t	b_t	delta_t	a_t	e_t	mu_t	c_t	tac	r_t	kappa_t	v_t	RT	initRT
54323	1	0	291	317.19610719323	-26.1961071932297	5.9390954889169	-14.1961071932298	303	0	6	0	16	0	2.35856689990032	1.39415129995905
54323	1	0	294	291.340471888239	2.65952811176078	-25.8556353049906	11.6595281117608	303	0	7	1	16	0	1.31080030009616	0.379609700059518
54323	1	0	307	293.82742138057	13.1725786194296	2.48694949233121	9.17257861942957	303	0	8	0	16	0	2.42805220000446	0.49630260001868
54323	1	0	287	303.840056134967	-16.8400561349672	10.0126347543968	-0.840056134967235	303	0	9	0	16	0	1.24946900003124	0.368673200020567
54323	1	0	29	285.799295632335	103.200704367665	-18.0407605026321	103.200704367665	29	1	0	0	16	0	1.96375059999991	0.448191900039092
54323	1	0	3	25.9518170152536	-22.9518170152536	100.152521382919	3.0481829847464	29	0	1	0	16	0	1.3727645999752	0.341372000053525
54323	1	0	34	9.09027692082236	24.9097230791776	-16.8615400944312	19.9097230791776	29	0	2	0	16	0	2.01989410002716	0.75449030008167
54323	1	0	32	34.2095073244268	-2.2095073244268	25.1192304036044	-5.20950732442679	29	0	3	1	16	0	2.30726130004041	0.408158699981868
54323	1	0	37	33.7501259730744	3.24987402692557	-0.459381351352363	-4.75012597307443	29	0	4	1	16	0	1.79000489995815	0.123781900038011
54323	1	0	38	36.7872198107141	1.21278018928587	3.0370938376397	-7.78721981071413	29	0	5	1	16	0	1.89998159999959	0.336087399977259
54323	1	0	28	39.0938588862295	-11.0938588862295	2.30663907551536	-10.0938588862295	29	0	6	0	16	0	1.58367130008992	0.169309900025837
54323	1	0	34	31.2543273810416	2.7456726189584	-7.83953150518789	-2.2543273810416	29	0	7	1	16	0	1.62730479997117	0.0469045999925584
54323	1	0	49	32.7815352371808	16.2184647628192	1.52720785613917	-3.78153523718078	29	0	8	1	16	0	2.01259499997832	0.0626367999939248
54323	1	0	28	48.1859208798618	-20.1859208798618	15.4043856426811	-19.1859208798618	29	0	9	0	16	0	1.16897410003003	0.369126299978234
54323	1	0	59	27.8670038496568	31.1329961503432	-20.318917030205	1.13299615034317	29	0	10	0	16	1	1.93355189997237	0.285022199968807
54323	1	0	39	59.7186570438586	-20.7186570438586	31.8516531942017	-26.7186570438586	33	1	0	0	16	0	1.20129750005435	0.335997700109147
54323	1	0	47	39.5193147754864	7.4806852245136	-20.1993422683722	-6.5193147754864	33	0	1	1	16	0	1.50922569993418	0.0428608999354765
54323	1	0	27	46.428850148277	-19.428850148277	6.90953537279063	-13.428850148277	33	0	2	1	16	0	1.08109999995213	0.348979700007476
54323	1	0	46	26.6359617590824	19.3640382409176	-19.7928883891947	6.36403824091764	33	0	3	0	16	0	1.66675750003196	0.285195800010115
54323	1	0	51	46.1605292476487	4.83947075235131	19.5245674885663	-13.1605292476487	33	0	4	1	16	0	1.26438559999224	0.299626499996521
54323	1	0	22	51.3648033335341	-29.3648033335341	5.2042740858854	-18.3648033335341	33	0	5	0	16	0	1.53518260002602	0.371978700044565
54323	1	0	13	22.0771993155363	-9.07719931553629	-29.2876040179978	10.9228006844637	33	0	6	1	16	0	1.32313499995507	0.391441799933091
54323	1	0	58	12.9313904001089	45.0686095998912	-9.14580891542744	20.0686095998911	33	0	7	0	16	0	0.973924400052056	0.344302000012249
54323	1	0	57	57.2075809144735	-0.207580914473507	44.2761905143647	-24.2075809144735	33	0	8	1	16	0	1.68481990008149	0.518839800031856
54323	1	0	48	56.9875119434605	-8.9875119434605	-0.220068971013006	-23.9875119434605	33	0	9	1	16	0	2.46947570005432	0.736995600047521
54323	1	0	44	48.6454963446113	-4.64549634461133	-8.34201559884917	-15.6454963446113	33	0	10	1	16	0	2.53462990000844	0.686558600049466
54323	1	0	26	45.0940816552019	-19.0940816552019	-3.55141468940945	-12.0940816552019	33	0	11	0	16	0	1.18528989993501	0.355137799982913
54323	1	0	42	27.5290718724566	14.4709281275434	-17.5650097827453	5.4709281275434	33	0	12	0	16	0	1.4144528999459	0.333394499961287
54323	1	0	24	41.6162711696689	-17.6162711696689	14.0871992972123	-8.61627116966895	33	0	13	1	16	0	1.67388030001894	0.526013100054115
54323	1	0	16	25.5679151897432	-9.56791518974325	-16.0483559799257	7.43208481025675	33	0	14	0	16	0	1.2907652000431	0.0419886000454426
54323	1	0	33	17.5255683737229	15.4744316262771	-8.04234681602037	15.4744316262771	33	0	15	1	16	0	1.0847823000513	0.319024799973704
