ID	block	new_block	x_t	b_t	delta_t	a_t	e_t	mu_t	c_t	tac	r_t	kappa_t	v_t	RT	initRT	confidence	confidenceRT
99029	2	0	336	332.744671625057	3.25532837494307	-1.04395035711155	7.25532837494308	340	0	2	1	16	0	2.80280399974436	0.702229700051248	71	4.28707650024444
99029	2	0	8	335.084371491596	32.9156285084035	2.33969986653954	4.91562850840354	340	0	3	0	16	0	2.59067850001156	0.806952300015837	76	4.2209179000929
99029	2	0	330	335.144762867063	-5.14476286706352	0.0603913754670155	4.85523713293652	340	0	4	1	16	0	2.97770480019972	0.544639899861068	67	1.95243779988959
99029	2	0	350	340.602187551442	9.39781244855823	5.45742468437828	-0.602187551441757	340	0	5	1	16	1	3.74966169986874	0.882985699921846	83	3.46965989982709
99029	2	0	353	340.67187084889	12.32812915111	0.0696832974482133	-0.671870848889966	340	0	6	1	16	0	2.36353520024568	0.864039500243962	80	2.2020291001536
99029	2	0	337	340.893646994228	-3.89364699422799	0.221776145338005	-0.893646994227972	340	0	7	1	16	0	4.87303439993411	0.771857599727809	82	4.08740200009197
99029	2	0	348	341.449768074072	6.55023192592773	0.556121079844256	-1.44976807407223	340	0	8	1	16	0	3.49084500037134	0.423570400103927	81	2.60235740011558
99029	2	0	328	341.328293105171	-13.3282931051709	-0.121474968901295	-1.32829310517093	340	0	9	0	16	0	1.89597089961171	0.396624699700624	80	2.25236839987338
99029	2	0	332	340.950642777038	-8.9506427770378	-0.377650328133141	-0.950642777037793	340	0	10	1	16	0	3.02157250000164	1.02230630023405	79	6.70591499982402
99029	2	0	358	340.942295489872	17.0577045101284	-0.00834728716617802	-0.942295489871613	340	0	11	0	16	0	1.95694770012051	0.490000499878079	83	2.9859305000864
99029	2	0	351	354.221880930873	-3.22188093087335	13.2795854410017	-14.2218809308733	340	0	12	1	16	0	1.87688779970631	0.261421099770814	65	4.9709386001341
99029	2	0	323	343.017893546455	-20.0178935464546	-11.2039873844188	-3.01789354645457	340	0	13	1	16	0	2.15579200023785	0.572295800317079	75	2.00184629997239
99029	2	0	335	337.353197686989	-2.35319768698933	-5.66469585946523	2.64680231301066	340	0	14	1	16	0	1.76140780001879	0.278750399593264	72	1.93528509978205
